FID_1,State,LNGx,LNG,Hyx,HY,ELECx,ELEC,E85x,E85,CNGx,CNG,BDx,BD,LPGx,LPG,Alt_Totalx,total,MMT_Petrox,POPx
49,AK,0,0,0,0,0,0,0,0,1,0.136029992,0,0,5,0.680149959,6,0.816179951,17.1,735132
50,AL,4,0.082751966,0,0,47,0.972335604,31,0.641327739,24,0.496511798,10,0.206879916,116,2.399807022,232,4.799614045,33.2,4833722
51,AR,3,0.101372825,0,0,29,0.979937304,33,1.11510107,9,0.304118474,5,0.168954708,39,1.31784672,118,3.9873311,21.6,2959373
52,AZ,8,0.120725123,1,0.01509064,289,4.361195082,31,0.467809853,34,0.513081774,79,1.192160593,67,1.011072908,509,7.681135975,32.8,6626624
53,CA,48,0.125220045,21,0.05478377,1868,4.873146747,92,0.240005086,281,0.733059013,81,0.211308826,232,0.605230217,2623,6.842753703,217.7,38332521
54,CO,2,0.037962427,1,0.018981214,148,2.809219631,90,1.708309235,37,0.702304908,20,0.379624274,52,0.987023114,350,6.643424803,30.6,5268367
55,CT,1,0.027808058,2,0.055616115,136,3.781895842,1,0.027808058,17,0.47273698,2,0.055616115,15,0.417120865,174,4.838602033,20.8,3596080
56,DC,0,0,0,0,31,4.795428564,4,0.618764976,3,0.464073732,7,1.082838708,0,0,45,6.961105981,1,646449
57,DE,0,0,0,0,13,1.404268328,2,0.216041281,1,0.108020641,1,0.108020641,4,0.432082562,21,2.268433452,6.3,925749
58,FL,2,0.010228683,0,0,501,2.562285006,59,0.301746138,37,0.189230629,17,0.086943803,68,0.34777521,684,3.498209469,103.9,19552860
59,GA,5,0.050039196,0,0,207,2.071622702,67,0.670525222,31,0.310243013,25,0.250195979,59,0.590462509,394,3.943088621,58.6,9992167
60,HI,0,0,3,0.213666996,166,11.8229071,3,0.213666996,1,0.071222332,9,0.641000987,3,0.213666996,185,13.1761314,16.8,1404054
61,IA,1,0.032358103,0,0,51,1.650263266,193,6.245113926,5,0.161790516,3,0.09707431,21,0.679520168,274,8.866120289,25.7,3090416
62,ID,6,0.372177037,0,0,13,0.806383581,9,0.558265556,8,0.49623605,5,0.310147531,25,1.550737655,66,4.093947409,10.3,1612136
63,IL,2,0.015525377,1,0.007762688,311,2.414196094,221,1.715554138,44,0.34155829,11,0.085389572,103,0.799556906,693,5.379543065,76.9,12882135
64,IN,4,0.060874443,0,0,115,1.750140239,172,2.617601054,25,0.380465269,7,0.106530275,175,2.663256886,498,7.578868168,50.9,6570902
65,KS,2,0.069109527,0,0,66,2.280614398,29,1.002088144,8,0.276438109,6,0.207328582,38,1.313081017,149,5.148659776,26.6,2893957
66,KY,0,0,0,0,34,0.773554449,59,1.342344484,5,0.113758007,4,0.091006406,46,1.046573666,148,3.367237011,38.1,4395295
67,LA,2,0.043238849,0,0,43,0.929635259,5,0.108097123,23,0.497246766,2,0.043238849,34,0.735060437,109,2.356517284,95.9,4625470
68,MA,0,0,1,0.014941376,230,3.436516484,8,0.119531008,25,0.3735344,12,0.179296512,18,0.268944768,294,4.392764549,37.2,6692824
69,MD,1,0.01686678,0,0,238,4.014293584,26,0.438536274,10,0.168667798,9,0.151801018,18,0.303602036,302,5.093767489,29.6,5928814
70,ME,0,0,0,0,22,1.656249859,1,0.075284084,1,0.075284084,3,0.225852253,12,0.903409014,39,2.936079295,12.6,1328302
71,MI,0,0,4,0.040421916,283,2.859850548,174,1.75835334,21,0.212215058,18,0.181898621,73,0.737699965,573,5.790439449,54,9895622
72,MN,0,0,0,0,121,2.232315815,335,6.180378497,13,0.239835583,10,0.18448891,34,0.627262295,513,9.464281102,38,5420380
73,MO,1,0.016544866,1,0.016544866,84,1.389768754,107,1.770300675,14,0.231628126,4,0.066179464,64,1.058871432,275,4.549838183,40.2,6044171
74,MS,1,0.033431321,0,0,34,1.136664898,1,0.033431321,7,0.234019244,4,0.133725282,118,3.944895823,165,5.516167888,28.2,2991207
75,MT,0,0,0,0,4,0.394024617,3,0.295518463,2,0.197012308,6,0.591036925,44,4.334270784,59,5.811863096,11.7,1015165
76,NC,0,0,0,0,246,2.497953912,22,0.223394252,41,0.416325652,134,1.360674082,100,1.015428419,543,5.513776317,52.1,9848060
77,ND,0,0,0,0,4,0.55294978,58,8.017771806,1,0.138237445,3,0.414712335,18,2.488274009,84,11.61194537,15.1,723393
78,NE,2,0.107036814,0,0,18,0.963331328,76,4.067398941,9,0.481665664,3,0.160555221,22,1.177404957,130,6.957392926,15.9,1868516
79,NH,0,0,0,0,29,2.191227684,0,0,4,0.302238301,5,0.377797877,11,0.831155329,49,3.702419191,9.4,1323459
80,NJ,0,0,0,0,119,1.337177963,5,0.056183948,32,0.359577267,5,0.056183948,10,0.112367896,171,1.921491023,64.9,8899339
81,NM,2,0.095910059,0,0,17,0.815235505,14,0.671370416,11,0.527505327,8,0.383640238,46,2.205931366,98,4.69959291,16.2,2085287
82,NV,3,0.107521641,1,0.035840547,41,1.46946242,20,0.716810937,8,0.286724375,5,0.179202734,38,1.36194078,116,4.157503434,14.7,2790136
83,NY,0,0,9,0.0457989,355,1.806512166,87,0.4427227,119,0.605563233,38,0.193373133,66,0.3358586,674,3.429828732,83.7,19651127
84,OH,4,0.034569755,1,0.008642439,144,1.244511187,97,0.838316564,38,0.328412674,18,0.155563898,68,0.587685838,370,3.197702356,74.4,11570808
85,OK,1,0.025970195,0,0,24,0.623284669,28,0.727165447,95,2.46716848,5,0.129850973,152,3.947469568,305,7.920909331,35.1,3850568
86,OR,3,0.076334615,0,0,390,9.923499993,8,0.203558974,13,0.330783333,24,0.610676923,34,0.86512564,472,12.00997948,21.8,3930065
87,PA,3,0.02348557,2,0.015657047,167,1.307363407,35,0.273998319,60,0.469711404,7,0.054799664,75,0.587139255,349,2.732154666,77.1,12773801
88,RI,0,0,0,0,63,5.991378122,0,0,6,0.57060744,6,0.57060744,6,0.57060744,81,7.703200442,5.3,1051511
89,SC,2,0.041886229,2,0.041886229,138,2.890149804,83,1.738278505,10,0.209431145,60,1.256586871,44,0.921497039,339,7.099715823,32.3,4774839
90,SD,0,0,0,0,11,1.301964665,88,10.41571732,0,0,2,0.236720848,18,2.130487633,119,14.08489046,7.4,844877
91,TN,2,0.030788282,0,0,368,5.665043816,56,0.862071885,16,0.246306253,44,0.677342195,101,1.554808221,587,9.036360653,43.8,6495978
92,TX,21,0.07940051,1,0.003780977,625,2.363110402,99,0.374316688,90,0.340287898,19,0.071838556,477,1.803525859,1332,5.036260889,280.9,26448193
93,UT,8,0.275779145,0,0,50,1.723619656,5,0.172361966,91,3.136987775,3,0.103417179,27,0.930754614,184,6.342920336,19.1,2900872
94,VA,1,0.012105944,1,0.012105944,210,2.542248231,21,0.254224823,22,0.266330767,12,0.145271327,59,0.714250694,326,3.94653773,52.6,8260405
95,VT,0,0,0,0,27,4.308762747,1,0.159583805,3,0.478751416,2,0.319167611,3,0.478751416,36,5.745016996,5.1,626630
96,WA,1,0.014344309,1,0.014344309,469,6.727480798,24,0.34426341,24,0.34426341,34,0.487706497,68,0.975412994,621,8.907815726,48.7,6971406
97,WI,3,0.052240117,0,0,129,2.246325038,117,2.03736457,52,0.905495364,4,0.06965349,55,0.957735481,360,6.268814061,32.7,5742713
98,WV,0,0,0,0,22,1.186428978,4,0.21571436,3,0.16178577,2,0.10785718,12,0.647143079,43,2.318929366,12.5,1854304
99,WY,2,0.343254534,0,0,2,0.343254534,9,1.544645401,12,2.059527201,13,2.231154468,17,2.917663535,55,9.439499672,11,582658